""
10,"[-0.00877060678673046, 0.29908534243998397]","[-0.010479135220679694, 0.2977939422680297]","[-0.008747898988573664, 0.3524589483368026]","[-0.007526963346199438, 0.3008256573865545]","[-0.008784693234286883, 0.25991725517905184]","[0.009855455862619992, 0.29757662852035544]","[0.008395689474558368, 0.2956183081181775]","[0.009824570317958359, 0.3538725026800913]","[0.011938188155353894, 0.2999291334354528]","[0.009885790613995284, 0.25682086992295383]",[0.0006427168846130371],[-4.7326087951660156e-05],"[0.6155864000320435, 0.42040950059890747]","[757, 826]"
11,"[-0.008866414909958755, 0.29812628553717846]","[-0.010629479605877575, 0.29700282805032946]","[-0.008864984693095705, 0.3522741271220581]","[-0.007588145372059766, 0.29981857813714247]","[-0.00885452750151335, 0.2586845613299488]","[0.00966842844684375, 0.2962602076744632]","[0.008198607920277223, 0.29451015294303484]","[0.00964416611931992, 0.35270788253348784]","[0.011805737766545909, 0.298464771549262]","[0.00969404661558834, 0.2554107747196246]",[0.0006147623062133789],[-4.851818084716797e-05],"[0.6152586936950684, 0.4205928444862366]","[757, 826]"
12,"[-0.009410703208706931, 0.29914285271138574]","[-0.011196002501120406, 0.29755253655837594]","[-0.009404540643868396, 0.35111635375606504]","[-0.00810141133886891, 0.30115390566335026]","[-0.009408517279017111, 0.26078720722193577]","[0.01064000714094439, 0.29600794727119506]","[0.00906258111955026, 0.2937083945064309]","[0.010591937484211743, 0.35079820248908383]","[0.012887541374042973, 0.29867455038186747]","[0.010690445990442147, 0.25605495823157504]",[0.0005789995193481445],[-2.1219253540039062e-05],"[0.6159981489181519, 0.41905641555786133]","[757, 826]"
13,"[-0.00886751564939435, 0.3019765442396877]","[-0.010555881647243501, 0.30113616603581816]","[-0.008845204937957481, 0.3560710169015727]","[-0.007629937731791081, 0.30330349758128106]","[-0.008879092911776913, 0.26237301404729924]","[0.009927054570116596, 0.2970011865053393]","[0.00841785965621578, 0.29453103198370617]","[0.00988851766205829, 0.353795910403106]","[0.01210748247703512, 0.2999843038436493]","[0.009968661508446542, 0.25605828165321654]",[0.0005653500556945801],[4.410743713378906e-06],"[0.6162914037704468, 0.4194266200065613]","[757, 826]"
14,"[-0.01081844532997906, 0.3038021441763926]","[-0.012928517694728924, 0.30243539863293334]","[-0.010824139844112377, 0.35876705492041916]","[-0.009285437730221998, 0.30563164745940097]","[-0.010799106671944668, 0.2636273679485447]","[0.01209591869144037, 0.2977758013347993]","[0.010288034716309145, 0.29470763711571146]","[0.012020584351146002, 0.3543371620976912]","[0.014685943542179862, 0.3013882046901968]","[0.012172125436430975, 0.25687166112994947]",[0.000508427619934082],[1.2755393981933594e-05],"[0.6166393756866455, 0.4193485379219055]","[757, 826]"
15,"[-0.010430407481026383, 0.3031856304413355]","[-0.012494351803499582, 0.30171634348326604]","[-0.010456908772231759, 0.3573962775418884]","[-0.008940196373584142, 0.3050584862720862]","[-0.010391350723698423, 0.2634097615953375]","[0.011811250198228984, 0.29916368064498067]","[0.009997358718502177, 0.2962578704618146]","[0.011731820156551298, 0.3562344084059083]","[0.014432881747417147, 0.30256930047275016]","[0.01189314137069565, 0.25798561090293065]",[0.0005747079849243164],[-2.0802021026611328e-05],"[0.6171290874481201, 0.41896408796310425]","[757, 826]"
16,"[-0.010049080307089628, 0.3031106764308842]","[-0.01198528523287193, 0.30192500885480034]","[-0.01006543037128325, 0.35798474577549855]","[-0.00863858360904482, 0.3046302015940927]","[-0.010021902915411636, 0.26291815393556284]","[0.011365242245039563, 0.30010062638519386]","[0.009623822491305464, 0.2973353449542268]","[0.01128923949703637, 0.35755600142831845]","[0.01388869441293934, 0.3033503073145334]","[0.011446133804496394, 0.25861841356273785]",[0.0005680322647094727],[-3.814697265625e-06],"[0.617143988609314, 0.4192515015602112]","[757, 826]"
17,"[-0.0093619878660269, 0.3040074107551471]","[-0.011170039306836223, 0.30325447678995154]","[-0.00936031388848592, 0.359263965858637]","[-0.008042938187215366, 0.3051450490699744]","[-0.00935322455043055, 0.2635820926886431]","[0.010649009367699476, 0.2986960093740523]","[0.009013111161162896, 0.2963291469070822]","[0.010583420007985088, 0.35453622679970137]","[0.013020401522996687, 0.30157494903266363]","[0.010717624366162, 0.2581879900398298]",[0.000532686710357666],[1.627206802368164e-05],"[0.6174001097679138, 0.42043954133987427]","[757, 826]"
18,"[-0.010168596379724103, 0.3028360325000133]","[-0.012177169246604098, 0.3017843344243395]","[-0.010173394054252822, 0.3571977217236173]","[-0.008716080570066469, 0.304246570409597]","[-0.010153370492158705, 0.2629746151814608]","[0.011399437349686282, 0.2991794298255609]","[0.00967466693064023, 0.29667644642565977]","[0.011320985151712407, 0.3552488338353236]","[0.013894340275738873, 0.30218851135121394]","[0.011484995995611138, 0.25849719660593784]",[0.0005244612693786621],[-1.901388168334961e-05],"[0.6170613765716553, 0.42017289996147156]","[757, 826]"
19,"[-0.011063666789451919, 0.30467433443485975]","[-0.0132208049278098, 0.3037305940370963]","[-0.011071936206469589, 0.36147429897223043]","[-0.009493048061979429, 0.30605282652290655]","[-0.011041521714861145, 0.2633940773078897]","[0.012447512976355891, 0.30053559093862825]","[0.01052770221596224, 0.2981371372177096]","[0.012379933671927648, 0.35715031356813665]","[0.01524267794151071, 0.3034361164439917]","[0.012517066111687793, 0.25950606768981826]",[0.0004979372024536133],[1.8298625946044922e-05],"[0.6172590255737305, 0.42194539308547974]","[757, 826]"
20,"[-0.010094258088910495, 0.306460663057652]","[-0.012038216304066287, 0.3057165156926279]","[-0.010099179118005024, 0.36344132562641435]","[-0.008675744764811876, 0.3075672896731289]","[-0.010080701805648115, 0.26488872770719524]","[0.01137789188085305, 0.30423380237690906]","[0.009634759893620221, 0.30215738665503067]","[0.011323284181611845, 0.3629891603113198]","[0.013902364176846751, 0.3068802329814343]","[0.011432096279407061, 0.2619641136468737]",[0.0005158185958862305],[-1.5616416931152344e-05],"[0.6169045567512512, 0.42291927337646484]","[757, 826]"
21,"[-0.010510369185121441, 0.31153219907025037]","[-0.01246337720318095, 0.310794282599523]","[-0.010535123630462006, 0.3704397444055253]","[-0.009070022897456526, 0.3126119539189746]","[-0.010476291526824555, 0.2686791897515056]","[0.012157282575166482, 0.3111345981272831]","[0.01023712365201201, 0.309328664477149]","[0.01208912442776426, 0.3728042088982922]","[0.01496373129732998, 0.3133548756738676]","[0.012221530218971254, 0.26700069354708733]",[0.000544130802154541],[-3.445148468017578e-05],"[0.6170158386230469, 0.422558456659317]","[757, 826]"
22,"[-0.010872765228562252, 0.311136740107497]","[-0.012845071313201045, 0.31048822620369576]","[-0.010887468244884286, 0.36959871134918315]","[-0.009407510184232819, 0.31205874087892027]","[-0.010850018250287108, 0.2684610420803877]","[0.012631431665897985, 0.30960780768103024]","[0.010625162782942637, 0.3078532643734151]","[0.012571463937305143, 0.371502605230343]","[0.015565854741040054, 0.31175720838390164]","[0.012685319507419286, 0.26534909122117867]",[0.0005167722702026367],[-3.2901763916015625e-05],"[0.6170343160629272, 0.4230049252510071]","[757, 826]"
23,"[-0.010789845165944523, 0.31127722647471756]","[-0.012756811113114691, 0.3106372134383065]","[-0.010806097885942818, 0.37012233569700853]","[-0.009331181859843569, 0.3121768716379393]","[-0.010765240668440139, 0.26837068784602164]","[0.012565569923533087, 0.3099555492075034]","[0.010571726195345691, 0.30821288439053435]","[0.012505338509913822, 0.3718909660259845]","[0.015480350879434708, 0.31207937432543736]","[0.012619610917031137, 0.26564990410855577]",[0.0005133748054504395],[-3.540515899658203e-05],"[0.6170476675033569, 0.4230142831802368]","[757, 826]"
24,"[-0.009832628299940237, 0.3132645601909835]","[-0.011678907377738298, 0.31254216763885995]","[-0.009858411562739556, 0.3738434595576332]","[-0.008478235836020268, 0.31418554931118664]","[-0.009798180765622192, 0.26927116092737596]","[0.011395030296464251, 0.31003858827202746]","[0.009596491170902265, 0.3087445479278527]","[0.011358085002442599, 0.3718870234196057]","[0.014024210215529968, 0.3117342693424318]","[0.011428090984937168, 0.26577861793272317]",[0.0005069375038146973],[-2.086162567138672e-05],"[0.6168270707130432, 0.4235784411430359]","[757, 826]"
25,"[-0.010159550405009104, 0.3136354459938211]","[-0.01212925692850886, 0.3129505140004771]","[-0.010191295631108512, 0.3748851180006917]","[-0.008724020238799278, 0.3147265924396052]","[-0.0101165963502709, 0.26946384873751733]","[0.011593905109254706, 0.3106401900495408]","[0.009766028543024937, 0.3092058984773835]","[0.011543428505670703, 0.37255195627067994]","[0.01426165749906007, 0.3125098490597552]","[0.011640320792181335, 0.26638171700227176]",[0.0004981756210327148],[-4.3511390686035156e-05],"[0.616409182548523, 0.4230627417564392]","[757, 826]"
26,"[-0.009793670950139638, 0.30571658782517186]","[-0.011727767585108786, 0.3048361641203641]","[-0.009798641344063563, 0.36365896055047786]","[-0.00839100951299722, 0.3070296689697177]","[-0.009777554744315997, 0.26382935419194037]","[0.010722970922229652, 0.30392288911408427]","[0.009053423117941717, 0.30220963859349015]","[0.010668529435718806, 0.361967072028029]","[0.01316165752329897, 0.30614321534992667]","[0.010778775894633968, 0.2620717477656405]",[0.0004836916923522949],[-3.701448440551758e-05],"[0.6158302426338196, 0.42365193367004395]","[757, 826]"
27,"[-0.008947856309848852, 0.30297850034424484]","[-0.010676386111915423, 0.30152958947627717]","[-0.008964868776445211, 0.35670948074203995]","[-0.007687291267316167, 0.30478513095628207]","[-0.008920893006616137, 0.263563466946329]","[0.009812465867627565, 0.3025068741797854]","[0.00829507434646969, 0.3007109386140403]","[0.009761765248366661, 0.35915549067227964]","[0.01202465517987524, 0.30478447674481]","[0.009866372789101843, 0.26140123612853183]",[0.0004871487617492676],[-2.7418136596679688e-06],"[0.6153675317764282, 0.42281556129455566]","[757, 826]"
28,"[-0.008524406200487963, 0.30308013439862586]","[-0.010179088248054522, 0.3024185624830187]","[-0.008516856230090672, 0.3588685271440513]","[-0.007318833211747646, 0.30409496471850417]","[-0.008523788774673748, 0.2624110986769292]","[0.009347644365881981, 0.3022755345293858]","[0.007918097776866424, 0.3000881326438526]","[0.009293451964611177, 0.3591612009082216]","[0.011413968024262764, 0.3049529158952847]","[0.009403700852218318, 0.2610669978529234]",[0.0004642009735107422],[-7.3909759521484375e-06],"[0.6153774857521057, 0.4227309823036194]","[757, 826]"
29,"[-0.008401426893521458, 0.30301040123953926]","[-0.01004883314061912, 0.30214344395108333]","[-0.008408406683060235, 0.35849730381513323]","[-0.007205689318839566, 0.3042352766067982]","[-0.008386531122139067, 0.2625389342693202]","[0.00919498777352497, 0.30189992920356495]","[0.007802886348174546, 0.2998664139770195]","[0.009145777506699196, 0.3585840822908654]","[0.011212308333499328, 0.3044389689212742]","[0.0092487733604993, 0.26079290263139493]",[0.0005112290382385254],[-9.238719940185547e-06],"[0.6151099801063538, 0.42254722118377686]","[757, 826]"
30,"[-0.008833476785405251, 0.30352680039167235]","[-0.010601379864324346, 0.3025958926510504]","[-0.008841076277009302, 0.35864957011875037]","[-0.007558610490557008, 0.30496884050823597]","[-0.008814696383315493, 0.2633694837744269]","[0.009789178623456688, 0.3015876450210032]","[0.008283341322024499, 0.299323291304383]","[0.009717410270763676, 0.35879122386157686]","[0.011979477519148513, 0.3043394380711]","[0.00986698927208951, 0.26022513491353993]",[0.0005241632461547852],[-2.3305416107177734e-05],"[0.6150227785110474, 0.42229899764060974]","[757, 826]"
31,"[-0.008112897728319546, 0.3015502407552058]","[-0.0096957978683144, 0.3010031265823233]","[-0.008108238743927883, 0.3570010007639067]","[-0.006961763903765509, 0.30247750857172134]","[-0.008108863987919858, 0.2611686171474357]","[0.008902285242082014, 0.3015804090019597]","[0.007521907535679817, 0.2991391274727564]","[0.00883899369333315, 0.35955742431746884]","[0.010916841111966767, 0.3045511932211454]","[0.008970474019938631, 0.2598230932397655]",[0.0005038976669311523],[-3.820657730102539e-05],"[0.6145566701889038, 0.42181336879730225]","[757, 826]"
32,"[-0.008130406691862161, 0.30431184793482924]","[-0.009740766821660397, 0.30390899586442155]","[-0.00812473003270461, 0.36112335997177863]","[-0.006964368098688329, 0.30513650583469115]","[-0.008126615179054135, 0.2630727423122138]","[0.009040303733861596, 0.3037453370518042]","[0.007644922900253648, 0.3013564273198955]","[0.008971054155642111, 0.3622060638432692]","[0.011064994000625616, 0.3066256732236975]","[0.009113106338799916, 0.2616427953522207]",[0.0004830360412597656],[-4.2438507080078125e-05],"[0.61480313539505, 0.4221985340118408]","[757, 826]"
33,"[-0.009214512900660799, 0.3043573288690476]","[-0.011007570391539503, 0.3037057052640747]","[-0.009226022978407983, 0.360469318438424]","[-0.00790867105301864, 0.30540699060128246]","[-0.009193422636416692, 0.2635462716081199]","[0.01021909185589503, 0.3036391576128462]","[0.008657685702018034, 0.30137881542164985]","[0.010148321132615802, 0.36116215467068735]","[0.012486279876584684, 0.3064043208765058]","[0.010296361071572188, 0.26200931589226184]",[0.00045877695083618164],[-1.531839370727539e-05],"[0.6143874526023865, 0.42184901237487793]","[757, 826]"
34,"[-0.008159267437448284, 0.30395154423027815]","[-0.009798216310139144, 0.30338126711402336]","[-0.008170791166984465, 0.36051599865331413]","[-0.0069753444680896795, 0.3050320366075472]","[-0.008136113219502967, 0.2629174092324091]","[0.009070314951726206, 0.30434652369039955]","[0.007682928272939283, 0.30211892861656336]","[0.009005190693332828, 0.3624725261890453]","[0.011076253777934997, 0.3070283458544642]","[0.009139674817564973, 0.26235359468263697]",[0.00045675039291381836],[-2.8967857360839844e-05],"[0.6143863797187805, 0.42154380679130554]","[757, 826]"
35,"[-0.008488509198037661, 0.3036564408401212]","[-0.01017809427970039, 0.3029007124863673]","[-0.00849839308128388, 0.35994069886145885]","[-0.007265539321470266, 0.3048960787630218]","[-0.008467374810318664, 0.2627666992353428]","[0.009357960500002531, 0.304556377281713]","[0.007937036174248726, 0.302393451159186]","[0.009300421151146467, 0.36320954286464757]","[0.011415482813086233, 0.3072168723569549]","[0.009420595471845244, 0.26227723081190835]",[0.00043660402297973633],[-2.6404857635498047e-05],"[0.6140187382698059, 0.4219469726085663]","[757, 826]"
