,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
11,"[-0.013867837793238103, 0.3980460944996728]","[-0.017354040295802182, 0.40053365536756713]","[-0.01379049289583803, 0.482682959422818]","[-0.01151545613607825, 0.3963457585346221]","[-0.013921699921624748, 0.3381317239559102]","[0.01095416404464475, 0.4230206126132842]","[0.009439122356528974, 0.42758177725040664]","[0.011068358638947718, 0.51243847275441]","[0.013049426799964247, 0.41910593561752296]","[0.010844476831662554, 0.35999545605068645]",[-0.0018265843391418457],[0.0007634162902832031],"[0.5862983465194702, 0.46828266978263855]","[157, 894]"
12,"[-0.014229754351578847, 0.40629671464279066]","[-0.017924478104325927, 0.40833587712540104]","[-0.014195534853928986, 0.49095715588491173]","[-0.01176715791581813, 0.40436796666632735]","[-0.01424513873716408, 0.3458882730906943]","[0.010858155273984156, 0.4318689578298587]","[0.009332749074551635, 0.43717729508693887]","[0.010981195815931861, 0.524375460647751]","[0.012990209783018765, 0.4272531796493438]","[0.01074345769032669, 0.3668917338549892]",[-0.0017064213752746582],[0.0007914304733276367],"[0.5849799513816833, 0.46806392073631287]","[157, 894]"
13,"[-0.021079724705007963, 0.3877410178680876]","[-0.026296448219927944, 0.3893268169090135]","[-0.020902196026648383, 0.4631867692925169]","[-0.017534340691940025, 0.38646387383299485]","[-0.021220786727628813, 0.33317752773843146]","[0.015670783891811754, 0.42268355551703085]","[0.013570246522203896, 0.43012692376034106]","[0.015899792062881477, 0.5060267197723016]","[0.01857186397327979, 0.4162677832195834]","[0.015463094931635576, 0.3630157720969111]",[-0.0015698671340942383],[0.0008117556571960449],"[0.5809668898582458, 0.4731115400791168]","[157, 894]"
14,"[-0.017076651489343904, 0.39517457637785947]","[-0.021575900373925785, 0.3966649464015879]","[-0.016990103186868534, 0.4736694673209847]","[-0.014102859967453335, 0.3938255491654714]","[-0.01714518435390157, 0.3386857330288871]","[0.012570521899212872, 0.42913520959293544]","[0.010888392198227088, 0.43540719869346434]","[0.012704942000052578, 0.5145939457196215]","[0.014896694110897507, 0.42363528574228004]","[0.012449595449264238, 0.3678252415725812]",[-0.0017688274383544922],[0.0008087754249572754],"[0.5805638432502747, 0.4739879369735718]","[157, 894]"
15,"[-0.017755770733413053, 0.3922516535909072]","[-0.022450730390181285, 0.3932897411226967]","[-0.017686100737243367, 0.4682720955777312]","[-0.014653123897809334, 0.39133700608198746]","[-0.01780411576787554, 0.337158179314876]","[0.013069057135155488, 0.4267597447349969]","[0.011320500252530003, 0.4331683997041543]","[0.013213170122108582, 0.5111446857722983]","[0.015487014454044773, 0.421148364956714]","[0.012939000879273218, 0.36613622399079326]",[-0.0017338991165161133],[0.0008261203765869141],"[0.5803130269050598, 0.47340232133865356]","[157, 894]"
16,"[-0.024780294741730973, 0.3872160396766511]","[-0.03124113340598293, 0.3895436193897559]","[-0.02454377081311623, 0.46404850944029385]","[-0.020477278003894792, 0.38505381234585007]","[-0.024984192479594748, 0.3320374793586869]","[0.018101295844199224, 0.4275963232365559]","[0.015643253818512195, 0.4358906961855202]","[0.0183719070405097, 0.5136741370222457]","[0.021525835173640533, 0.42031893518470154]","[0.017853463620482478, 0.3661333760890243]",[-0.0016254782676696777],[0.0007305145263671875],"[0.5758159160614014, 0.4748346209526062]","[157, 894]"
17,"[-0.020845152294442053, 0.39057695781699536]","[-0.026409872040839538, 0.3932193302907429]","[-0.020687784206463788, 0.46979866142885973]","[-0.017184943709671843, 0.3880157471469598]","[-0.020983703455705865, 0.33399737188530476]","[0.014856365826504162, 0.4302687347137193]","[0.012890340082566974, 0.43698928071284315]","[0.015035524907240373, 0.5180507076945589]","[0.017567048026540168, 0.4244611180769596]","[0.014696689321652554, 0.3676914901627157]",[-0.001922011375427246],[0.0008376240730285645],"[0.5747848749160767, 0.47516822814941406]","[157, 894]"
18,"[-0.029568170278634245, 0.3832420804925849]","[-0.0382853512555589, 0.3850295205193218]","[-0.029165319715359066, 0.4535565282483734]","[-0.02404405874581792, 0.3815393515399444]","[-0.029929071253177033, 0.3317432379289108]","[0.019666761304219994, 0.4288452655306195]","[0.017115759336508225, 0.4368395475664599]","[0.01993595708212969, 0.5141191579706759]","[0.02318523291838536, 0.42201306166085584]","[0.019435147613266025, 0.3677552442859957]",[-0.0019339323043823242],[0.0008139610290527344],"[0.5701742172241211, 0.47444379329681396]","[157, 894]"
19,"[-0.026156159090506906, 0.3861454742413895]","[-0.03330880566246267, 0.3886444251790632]","[-0.025775314140313605, 0.458350087191738]","[-0.021491811326229772, 0.38373301866158294]","[-0.02651361088699378, 0.3333273390857261]","[0.017137195358633197, 0.43354266738461583]","[0.014946315838992802, 0.44086610277020727]","[0.017364071126520643, 0.5201345700438298]","[0.020146102279892476, 0.4272252410693483]","[0.016936845105002412, 0.371338458402797]",[-0.002221822738647461],[0.0009079575538635254],"[0.5695850253105164, 0.47481679916381836]","[157, 894]"
20,"[-0.030517650920202387, 0.3808347428139013]","[-0.039325061827799525, 0.3839543388492616]","[-0.029996925295277678, 0.45086187818788276]","[-0.024905322738953586, 0.3778361659987201]","[-0.031025770670367978, 0.32957001192787144]","[0.01971575309054926, 0.43170472422249695]","[0.017177144958546227, 0.4400698398388968]","[0.01998957359748232, 0.5190387029641885]","[0.023220129133921043, 0.42422669497903664]","[0.019473582260084995, 0.3692281187646651]",[-0.0020249485969543457],[0.000862419605255127],"[0.5678460001945496, 0.4741273522377014]","[157, 894]"
