,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
11,"[-0.018368043301444183, 0.3698084684763445]","[-0.022303889851228043, 0.3729568822497035]","[-0.018310804015902453, 0.4424853422069473]","[-0.015584372027630543, 0.36720087907169874]","[-0.018402086711439846, 0.31752991661505936]","[0.020174704917565872, 0.35189635227636684]","[0.016897794865916745, 0.3480542535305524]","[0.02005104284685558, 0.4162751721883197]","[0.025055344472972228, 0.35602986890562666]","[0.020311756889075397, 0.30482946743202677]",[0.00046882033348083496],[-0.0002358853816986084],"[0.4722479581832886, 0.43384939432144165]","[818, 82]"
12,"[-0.01847064392894077, 0.37149128568926254]","[-0.022497967826350187, 0.37440272393193996]","[-0.018412017342790483, 0.4455364296455625]","[-0.01564278309858252, 0.3692553507908603]","[-0.018508575128886873, 0.3184682523957997]","[0.020403890065310563, 0.3548636767786438]","[0.017189508720230583, 0.351103360458828]","[0.020311471464055996, 0.4188937145402863]","[0.025111482720178373, 0.3588090839580936]","[0.020508264587253886, 0.30777059493154507]",[0.0004589259624481201],[-0.0001913309097290039],"[0.47242969274520874, 0.4340541362762451]","[818, 82]"
13,"[-0.017909136219041378, 0.37157097807795814]","[-0.02162664205091486, 0.3745137377233366]","[-0.017862557448365384, 0.44409331020801135]","[-0.015251746762965522, 0.36931235214890257]","[-0.017929987995318867, 0.3192279849486348]","[0.02006296304896524, 0.35412057207254305]","[0.016832944574227602, 0.35063850719263906]","[0.019957959664797274, 0.41859280223335776]","[0.024832367908350382, 0.3578018074025936]","[0.020172730218519928, 0.3068849668933115]",[0.00043088197708129883],[-0.00026851892471313477],"[0.47099488973617554, 0.4339432120323181]","[818, 82]"
14,"[-0.017836438894129482, 0.3717723823442753]","[-0.021570831549440027, 0.3747492230832776]","[-0.017790981812667372, 0.444555144448923]","[-0.015175771363328525, 0.3694946332325059]","[-0.017856592523640753, 0.3192760863417853]","[0.01994254865785896, 0.354285082065445]","[0.016747555276341152, 0.35077561213823905]","[0.019837733197825683, 0.41864282206526504]","[0.02464715827580145, 0.35799425138606983]","[0.02005200341698399, 0.30708950773485827]",[0.00042372941970825195],[-0.0002785921096801758],"[0.47092291712760925, 0.4338917136192322]","[818, 82]"
15,"[-0.0165485755852369, 0.36805191433503864]","[-0.019500148354111093, 0.3713807665781279]","[-0.016499364809842078, 0.43791432717870815]","[-0.014357608663654351, 0.36516613605040954]","[-0.016576915600406906, 0.317067725892499]","[0.020614675143819434, 0.3551186291482744]","[0.01709485406475694, 0.3514296709042817]","[0.02048359264247758, 0.41952563369655194]","[0.02595956134338588, 0.358996611652064]","[0.020735901578450372, 0.30778225630547507]",[0.0005092024803161621],[-0.00027045607566833496],"[0.47063541412353516, 0.4333055317401886]","[818, 82]"
16,"[-0.017192442223963735, 0.3725668910610654]","[-0.020249786780645613, 0.3761618245670243]","[-0.017150175085165524, 0.4443853051964854]","[-0.014923636559199281, 0.36938349400491727]","[-0.017217592436537366, 0.32035923920366505]","[0.02142564685452914, 0.35691169937433764]","[0.017738498895012514, 0.35333682731229576]","[0.021307038938439236, 0.42197719215341745]","[0.027046809316222133, 0.36072307738991]","[0.021537430516142344, 0.30912977673039027]",[0.00030854344367980957],[-0.00020819902420043945],"[0.47009924054145813, 0.43437838554382324]","[818, 82]"
17,"[-0.01729250798445635, 0.3684914538338278]","[-0.02036169240205264, 0.37172992178887915]","[-0.01726347231964036, 0.43807703781848684]","[-0.015011908035718918, 0.36560243228829514]","[-0.017300371815677968, 0.3175895694002865]","[0.021427158990675054, 0.3552633147540179]","[0.017753102282830998, 0.35174752911198465]","[0.021302522771801915, 0.41978957986405635]","[0.02701609928687284, 0.358988082907796]","[0.021543600622807534, 0.307829287810731]",[0.0003325939178466797],[-0.0002581477165222168],"[0.4698510766029358, 0.43387898802757263]","[818, 82]"
18,"[-0.01756317511214998, 0.37079381335007516]","[-0.02067261163501852, 0.37432938049705006]","[-0.01752293766475769, 0.4413911262889731]","[-0.015252147165803342, 0.36765426227444226]","[-0.01758374149318379, 0.3193109698342309]","[0.021818659091237723, 0.3564466191608026]","[0.0180569231246013, 0.35285052803447325]","[0.021693267780697755, 0.4215516766041821]","[0.027560406643384317, 0.3602619011930497]","[0.02193817808888675, 0.3086488541518951]",[0.0002771914005279541],[-0.00022101402282714844],"[0.46998539566993713, 0.4342697560787201]","[818, 82]"
19,"[-0.015624126729880932, 0.3637997913539586]","[-0.018640143995011613, 0.36676567874809995]","[-0.015576127523478688, 0.4309583921748154]","[-0.0134318956768932, 0.36131342585015264]","[-0.015652211364380983, 0.31466772446681746]","[0.01833418015271577, 0.3523656940755437]","[0.0152373394028331, 0.3480204473261703]","[0.018199098039552337, 0.4172386056166164]","[0.023007680230370735, 0.35691291992876756]","[0.018463855421686746, 0.30504501807268347]",[0.0004923641681671143],[-0.00026553869247436523],"[0.46958988904953003, 0.4365130662918091]","[818, 82]"
20,"[-0.01597426441416202, 0.367657269451748]","[-0.019074158292592625, 0.3712519310059324]","[-0.015908691653491232, 0.4367833744610305]","[-0.013727907178019822, 0.3646039906344716]","[-0.01601932491933413, 0.31735420239956996]","[0.018950614646819745, 0.353391360264781]","[0.0158213098471581, 0.3492315554815555]","[0.018801810675109394, 0.41653170154246383]","[0.023617055644441557, 0.3576394299514666]","[0.01909266524750467, 0.30693388658525333]",[0.0004552006721496582],[-0.00026720762252807617],"[0.4695318341255188, 0.43723881244659424]","[818, 82]"
